Clavage	N	Type	abundance	subject_id
False	0	V	68	IGHV3-7
True	0	D left	68	IGHD3-16
True	0	D right	68	IGHD3-16
True	0	J	68	IGHJ5
False	1	V	131	IGHV4-34
True	1	D left	131	IGHD5-5
True	1	D right	131	IGHD5-5
True	1	J	131	IGHJ4
False	2	V	27	IGHV3-49
True	2	D left	27	IGHD3-10
True	2	D right	27	IGHD3-10
True	2	J	27	IGHJ6
False	3	V	19	IGHV3-30
True	3	D left	19	IGHD2-15
True	3	D right	19	IGHD2-15
True	3	J	19	IGHJ6
False	4	V	25	IGHV1-69
True	4	D left	25	IGHD3-22
True	4	D right	25	IGHD3-22
True	4	J	25	IGHJ4
True	5	V	76	IGHV4-30-4
False	5	D left	76	IGHD3-3
True	5	D right	76	IGHD3-3
True	5	J	76	IGHJ6
False	6	V	6	IGHV3-23
False	6	D left	6	IGHD2/OR15-2b
True	6	D right	6	IGHD2/OR15-2b
True	6	J	6	IGHJ4
False	7	V	1283	IGHV1-18
True	7	D left	1283	IGHD3-22
True	7	D right	1283	IGHD3-22
True	8	V	37	IGHV5-51
True	8	D left	37	IGHD5-5
False	8	D right	37	IGHD5-5
True	8	J	37	IGHJ4
True	9	V	28	IGHV1-2
False	9	D left	28	IGHD6-19
False	9	D right	28	IGHD6-19
True	9	J	28	IGHJ6
False	10	V	273	IGHV3-30
True	10	D left	273	IGHD2-15
True	10	D right	273	IGHD2-15
True	10	J	273	IGHJ6
True	11	V	185	IGHV3-15
True	11	D left	185	IGHD3-3
True	11	D right	185	IGHD3-3
True	11	J	185	IGHJ2
False	12	V	24	IGHV3-21
True	12	D left	24	IGHD5-12
False	12	D right	24	IGHD5-12
False	12	J	24	IGHJ4
True	13	V	40	IGHV1-18
True	13	D left	40	IGHD3-22
True	13	D right	40	IGHD3-22
True	13	J	40	IGHJ4
False	14	V	641	IGHV1-69
True	14	D left	641	IGHD4-23
False	14	D right	641	IGHD4-23
False	15	V	31	IGHV4-59
False	15	D left	31	IGHD6-6
True	15	D right	31	IGHD6-6
True	15	J	31	IGHJ5
False	16	V	49	IGHV3-30-3
True	16	D left	49	IGHD2-15
True	16	D right	49	IGHD2-15
True	17	V	58	IGHV5-a
True	17	D left	58	IGHD3-3
True	17	D right	58	IGHD3-3
True	17	J	58	IGHJ4
False	18	V	15	IGHV1-8
True	18	D left	15	IGHD4-17
True	18	D right	15	IGHD4-17
True	18	J	15	IGHJ4
False	19	V	83	IGHV6-1
True	19	D left	83	IGHD6-13
False	19	D right	83	IGHD6-13
False	20	V	22	IGHV3-74
True	20	D left	22	IGHD5-24
True	20	D right	22	IGHD5-24
True	20	J	22	IGHJ4
True	21	V	22	IGHV6-1
True	21	D left	22	IGHD3-22
True	21	D right	22	IGHD3-22
True	21	J	22	IGHJ4
True	22	V	108	IGHV5-51
True	22	D left	108	IGHD1-26
True	22	D right	108	IGHD1-26
True	22	J	108	IGHJ6
True	23	V	33	IGHV3-74
False	23	D left	33	IGHD6-19
True	23	D right	33	IGHD6-19
True	23	J	33	IGHJ4
False	24	V	126	IGHV4-39
True	24	D left	126	IGHD3-10
True	24	D right	126	IGHD3-10
True	25	V	10	IGHV3-23
True	25	D left	10	IGHD4-11
False	25	D right	10	IGHD4-11
True	25	J	10	IGHJ1
False	26	V	19	IGHV3-30
True	26	D left	19	IGHD2-2
True	26	D right	19	IGHD2-2
True	26	J	19	IGHJ4
False	27	V	16	IGHV4-34
True	27	D left	16	IGHD3-16
True	27	D right	16	IGHD3-16
True	27	J	16	IGHJ6
False	28	V	42	IGHV4-39
True	28	D left	42	IGHD2-21
True	28	D right	42	IGHD2-21
True	28	J	42	IGHJ6
False	29	V	89	IGHV1-69
False	29	D left	89	IGHD6-13
True	29	D right	89	IGHD6-13
True	29	J	89	IGHJ3
True	30	V	36	IGHV3-21
True	30	D left	36	IGHD4-23
True	30	D right	36	IGHD4-23
True	30	J	36	IGHJ6
True	31	V	6	IGHV3-74
True	31	D left	6	IGHD6-19
True	31	D right	6	IGHD6-19
True	31	J	6	IGHJ4
True	32	V	35	IGHV4-34
True	32	D left	35	IGHD6-6
False	32	D right	35	IGHD6-6
True	32	J	35	IGHJ6
True	33	V	53	IGHV1-8
True	33	D left	53	IGHD1-14
False	33	D right	53	IGHD1-14
True	33	J	53	IGHJ4
True	34	V	19	IGHV4-39
True	34	D left	19	IGHD3-22
True	34	D right	19	IGHD3-22
True	34	J	19	IGHJ5
False	35	V	570	IGHV3-15
True	35	D left	570	IGHD6-6
True	35	D right	570	IGHD6-6
True	36	V	38	IGHV4-39
True	36	D left	38	IGHD6-13
True	36	D right	38	IGHD6-13
True	36	J	38	IGHJ4
False	37	V	29	IGHV4-34
True	37	D left	29	IGHD2-2
True	37	D right	29	IGHD2-2
True	37	J	29	IGHJ4
False	38	V	25	IGHV4-59
True	38	D left	25	IGHD6-19
False	38	D right	25	IGHD6-19
True	38	J	25	IGHJ4
False	39	V	102	IGHV3-30-3
True	39	D left	102	IGHD2-2
True	39	D right	102	IGHD2-2
False	40	V	698	IGHV4-b
True	40	D left	698	IGHD3-3
True	40	D right	698	IGHD3-3
True	40	J	698	IGHJ5
True	41	V	163	IGHV3-30-3
True	41	D left	163	IGHD2-2
True	41	D right	163	IGHD2-2
True	41	J	163	IGHJ4
True	42	V	39	IGHV4-39
True	42	D left	39	IGHD2-2
True	42	D right	39	IGHD2-2
True	42	J	39	IGHJ5
True	43	V	29	IGHV1-2
False	43	D left	29	IGHD5-5
True	43	D right	29	IGHD5-5
True	43	J	29	IGHJ6
True	44	V	32	IGHV1-24
True	44	D left	32	IGHD1-14
True	44	D right	32	IGHD1-14
True	44	J	32	IGHJ6
True	45	V	99	IGHV1-69
True	45	D left	99	IGHD3-3
True	45	D right	99	IGHD3-3
True	45	J	99	IGHJ5
False	46	V	53	IGHV3-15
True	46	D left	53	IGHD3-10
True	46	D right	53	IGHD3-10
True	46	J	53	IGHJ4
True	47	V	226	IGHV4-34
True	47	D left	226	IGHD3-9
True	47	D right	226	IGHD3-9
True	47	J	226	IGHJ4
False	48	V	35	IGHV4-59
True	48	D left	35	IGHD1-26
False	48	D right	35	IGHD1-26
True	48	J	35	IGHJ6
True	49	V	91	IGHV2-70
True	49	D left	91	IGHD5-24
True	49	D right	91	IGHD5-24
True	49	J	91	IGHJ4
True	50	V	759	IGHV1-18
True	50	D left	759	IGHD3-16
True	50	D right	759	IGHD3-16
True	50	J	759	IGHJ2
False	51	V	34	IGHV4-34
True	51	D left	34	IGHD4-17
False	51	D right	34	IGHD4-17
True	51	J	34	IGHJ5
False	52	V	38	IGHV4-31
True	52	D left	38	IGHD1-26
False	52	D right	38	IGHD1-26
True	52	J	38	IGHJ5
True	53	V	37	IGHV3-7
True	53	D left	37	IGHD3-3
True	53	D right	37	IGHD3-3
True	53	J	37	IGHJ4
False	54	V	22	IGHV3-74
True	54	D left	22	IGHD3-10
True	54	D right	22	IGHD3-10
True	54	J	22	IGHJ4
False	55	V	24	IGHV3-9
True	55	D left	24	IGHD6-13
True	55	D right	24	IGHD6-13
True	55	J	24	IGHJ2
False	56	V	23	IGHV1-3
True	56	D left	23	IGHD3-10
True	56	D right	23	IGHD3-10
True	56	J	23	IGHJ4
True	57	V	54	IGHV1-69
True	57	D left	54	IGHD6-19
True	57	D right	54	IGHD6-19
True	57	J	54	IGHJ6
True	58	V	21	IGHV3-49
True	58	D left	21	IGHD4-17
True	58	D right	21	IGHD4-17
True	58	J	21	IGHJ1
True	59	V	31	IGHV4-39
True	59	D left	31	IGHD1-26
True	59	D right	31	IGHD1-26
