Clavage	N	Type	abundance	gen_length	subject_id
False	0	V	17	302	IGHV3-15
True	0	D left	17	20	IGHD1-26
True	0	D right	17	20	IGHD1-26
True	0	J	17	48	IGHJ4
True	1	V	20	296	IGHV7-81
True	1	D left	20	31	IGHD2-2
True	1	D right	20	31	IGHD2-2
True	1	J	20	62	IGHJ6
True	2	V	14	296	IGHV3-48
True	2	D left	14	20	IGHD1-26
True	2	D right	14	20	IGHD1-26
True	2	J	14	48	IGHJ4
False	3	V	8	296	IGHV3-11
True	3	D left	8	20	IGHD5-5
False	3	D right	8	20	IGHD5-5
False	3	J	8	62	IGHJ6
True	4	V	36	299	IGHV4-31
True	4	D left	36	18	IGHD6-6
True	4	D right	36	18	IGHD6-6
True	4	J	36	48	IGHJ4
False	5	V	6	302	IGHV3-73
True	5	D left	6	37	IGHD3-16
True	5	D right	6	37	IGHD3-16
True	5	J	6	48	IGHJ4
True	6	V	65	296	IGHV1-69
True	6	D left	65	21	IGHD6-19
True	6	D right	65	21	IGHD6-19
True	6	J	65	48	IGHJ4
True	7	V	36	293	IGHV4-59
True	7	D left	36	20	IGHD5-5
True	7	D right	36	20	IGHD5-5
True	7	J	36	51	IGHJ5
False	8	V	70	296	IGHV1-18
True	8	D left	70	17	IGHD1-20
False	8	D right	70	17	IGHD1-20
True	8	J	70	51	IGHJ5
False	9	V	31	294	IGHV3-30-3
True	9	D left	31	31	IGHD3-22
True	9	D right	31	31	IGHD3-22
True	9	J	31	48	IGHJ4
True	10	V	8	296	IGHV3-23
True	10	D left	8	31	IGHD3-3
True	10	D right	8	31	IGHD3-3
True	10	J	8	48	IGHJ4
False	11	V	95	293	IGHV4-34
True	11	D left	95	31	IGHD3-22
False	11	D right	95	31	IGHD3-22
True	11	J	95	62	IGHJ6
True	12	V	45	294	IGHV1-2
True	12	D left	45	31	IGHD3-10
True	12	D right	45	31	IGHD3-10
True	12	J	45	48	IGHJ4
True	13	V	38	296	IGHV1-18
True	13	D left	38	31	IGHD3-22
True	13	D right	38	31	IGHD3-22
True	13	J	38	48	IGHJ4
True	14	V	59	296	IGHV1-3
True	14	D left	59	23	IGHD5-12
True	14	D right	59	23	IGHD5-12
True	14	J	59	48	IGHJ4
True	15	V	33	296	IGHV1-58
True	15	D left	33	31	IGHD3-9
True	15	D right	33	31	IGHD3-9
True	15	J	33	48	IGHJ4
True	16	V	22	296	IGHV3-21
True	16	D left	22	21	IGHD6-19
True	16	D right	22	21	IGHD6-19
True	16	J	22	48	IGHJ4
True	17	V	23	296	IGHV1-18
True	17	D left	23	21	IGHD6-19
True	17	D right	23	21	IGHD6-19
True	17	J	23	48	IGHJ4
True	18	V	20	296	IGHV5-51
True	18	D left	20	31	IGHD3-9
True	18	D right	20	31	IGHD3-9
True	18	J	20	51	IGHJ5
True	19	V	33	293	IGHV4-59
True	19	D left	33	20	IGHD1-26
True	19	D right	33	20	IGHD1-26
True	19	J	33	48	IGHJ4
True	20	V	129	296	IGHV1-69
True	20	D left	129	21	IGHD6-13
True	20	D right	129	21	IGHD6-13
True	20	J	129	62	IGHJ6
True	21	V	25	298	IGHV3-9
True	21	D left	25	21	IGHD6-13
False	21	D right	25	21	IGHD6-13
True	21	J	25	62	IGHJ6
False	22	V	83	296	IGHV1-69
True	22	D left	83	21	IGHD6-19
False	22	D right	83	21	IGHD6-19
True	22	J	83	62	IGHJ6
True	23	V	51	296	IGHV3-48
False	23	D left	51	18	IGHD6-6
True	23	D right	51	18	IGHD6-6
True	23	J	51	62	IGHJ6
True	24	V	19	296	IGHV3-48
True	24	D left	19	23	IGHD5-12
True	24	D right	19	23	IGHD5-12
True	24	J	19	48	IGHJ4
True	25	V	15	296	IGHV1-69
False	25	D left	15	31	IGHD3-22
True	25	D right	15	31	IGHD3-22
True	25	J	15	51	IGHJ5
False	26	V	46	296	IGHV1-69
True	26	D left	46	31	IGHD3-22
False	26	D right	46	31	IGHD3-22
False	26	J	46	48	IGHJ4
True	27	V	12	296	IGHV3-23
True	27	D left	12	16	IGHD4-17
True	27	D right	12	16	IGHD4-17
True	27	J	12	48	IGHJ4
True	28	V	30	296	IGHV1-69
True	28	D left	30	20	IGHD1-26
True	28	D right	30	20	IGHD1-26
True	28	J	30	62	IGHJ6
True	29	V	6	296	IGHV1-69
True	29	D left	6	20	IGHD1-26
True	29	D right	6	20	IGHD1-26
True	29	J	6	48	IGHJ4
True	30	V	104	296	IGHV1-3
True	30	J	104	62	IGHJ6
True	31	V	51	294	IGHV1-f
True	31	D left	51	31	IGHD2-2
True	31	D right	51	31	IGHD2-2
True	31	J	51	62	IGHJ6
True	32	V	32	296	IGHV3-30
True	32	D left	32	31	IGHD2-2
True	32	D right	32	31	IGHD2-2
