Clavage	N	Type	abundance	gen_length	palindrome_len	perc_identity	subject_id
True	0	V	15	296	0	100.0	IGHV1-24
True	0	D left	15	21	0	100.0	IGHD6-13
True	0	D right	15	21	1	100.0	IGHD6-13
True	0	J	15	48	0	100.0	IGHJ4
False	1	V	607	299	0	86.96	IGHV4-39
True	1	D left	607	30	1	100.0	IGHD3-10
True	1	D right	607	30	0	100.0	IGHD3-10
True	1	J	607	51	0	100.0	IGHJ5
False	2	V	40	296	0	94.26	IGHV1-3
True	2	D left	40	30	0	100.0	IGHD3-10
True	2	D right	40	30	0	100.0	IGHD3-10
True	2	J	40	62	1	96.36	IGHJ6
True	3	V	11	293	0	99.62	IGHV3-66
True	4	V	35	296	0	100.0	IGHV3-48
True	4	D left	35	31	0	100.0	IGHD3-3
True	4	D right	35	31	0	100.0	IGHD3-3
True	4	J	35	62	0	100.0	IGHJ6
False	5	V	34	301	1	98.01	IGHV2-26
True	5	D left	34	31	0	100.0	IGHD3-22
False	5	D right	34	31	0	100.0	IGHD3-22
True	5	J	34	48	0	97.37	IGHJ4
True	6	V	313	294	0	95.9	IGHV3-7
True	6	D left	313	28	1	100.0	IGHD2-21
True	6	D right	313	28	0	100.0	IGHD2-21
True	6	J	313	48	1	100.0	IGHJ4
True	7	V	182	293	0	83.39	IGHV4-4
True	7	D left	182	23	0	100.0	IGHD5-12
True	7	D right	182	23	0	100.0	IGHD5-12
True	7	J	182	48	0	93.33	IGHJ4
True	8	V	47	293	0	100.0	IGHV4-34
False	8	D left	47	31	1	100.0	IGHD3-10
True	8	D right	47	31	0	100.0	IGHD3-10
True	8	J	47	48	0	100.0	IGHJ4
True	9	V	34	293	0	100.0	IGHV4-59
False	9	D left	34	20	2	100.0	IGHD5-5
True	9	D right	34	20	1	100.0	IGHD5-5
True	9	J	34	62	0	100.0	IGHJ6
True	10	V	27	299	1	98.32	IGHV4-39
True	10	D left	27	31	1	100.0	IGHD2-15
True	10	D right	27	31	1	100.0	IGHD2-15
True	10	J	27	48	1	96.88	IGHJ4
True	11	V	13	299	0	96.3	IGHV4-39
True	11	D left	13	21	0	100.0	IGHD6-19
True	11	D right	13	21	0	100.0	IGHD6-19
True	11	J	13	48	0	100.0	IGHJ4
True	12	V	29	294	0	100.0	IGHV4-b
True	12	D left	29	20	0	100.0	IGHD1-26
True	12	D right	29	20	0	100.0	IGHD1-26
True	12	J	29	48	0	100.0	IGHJ4
True	13	V	7	302	1	100.0	IGHV3-49
True	13	D left	7	19	0	100.0	IGHD4-23
False	13	D right	7	19	5	100.0	IGHD4-23
True	13	J	7	48	0	97.3	IGHJ4
True	14	V	2264	296	0	100.0	IGHV1-24
False	15	V	30	294	0	100.0	IGHV3-30-3
True	15	D left	30	20	0	100.0	IGHD1-26
True	15	D right	30	20	1	100.0	IGHD1-26
True	15	J	30	48	0	100.0	IGHJ4
