Clavage	N	Type	abundance	gen_length	subject_id
False	0	V	16	302	IGHV3-15
True	0	D left	16	31	IGHD3-3
True	0	D right	16	31	IGHD3-3
True	0	J	16	48	IGHJ4
True	1	V	32	299	IGHV4-39
True	1	D left	32	31	IGHD2-2
True	1	D right	32	31	IGHD2-2
True	1	J	32	48	IGHJ4
True	2	V	235	296	IGHV1-69
True	2	D left	235	28	IGHD2-21
True	2	D right	235	28	IGHD2-21
True	2	J	235	51	IGHJ5
False	3	V	74	296	IGHV3-23
True	3	D left	74	37	IGHD3-16
True	3	D right	74	37	IGHD3-16
False	4	V	17	294	IGHV3-30-3
True	4	D left	17	20	IGHD5-24
True	4	D right	17	20	IGHD5-24
True	4	J	17	62	IGHJ6
False	5	V	125	296	IGHV3-21
True	5	D left	125	21	IGHD6-19
True	5	D right	125	21	IGHD6-19
True	5	J	125	48	IGHJ4
True	6	V	1474	294	IGHV1-69
True	6	D left	1474	31	IGHD3-9
True	6	D right	1474	31	IGHD3-9
True	6	J	1474	62	IGHJ6
True	7	V	8	296	IGHV3-33
True	7	D left	8	16	IGHD4-17
False	7	D right	8	16	IGHD4-17
True	7	J	8	48	IGHJ4
False	8	V	63	296	IGHV1-24
False	8	D left	63	23	IGHD5-12
True	8	D right	63	23	IGHD5-12
True	8	J	63	51	IGHJ5
False	9	V	907	305	IGHV6-1
True	9	D left	907	31	IGHD3-10
True	9	D right	907	31	IGHD3-10
True	9	J	907	62	IGHJ6
False	10	V	43	296	IGHV1-69
True	10	D left	43	21	IGHD6-19
False	10	D right	43	21	IGHD6-19
True	10	J	43	62	IGHJ6
True	11	V	90	296	IGHV1-18
True	11	D left	90	31	IGHD3-22
True	11	D right	90	31	IGHD3-22
True	12	V	15	296	IGHV5-51
True	12	D left	15	21	IGHD6-19
True	12	D right	15	21	IGHD6-19
False	12	J	15	50	IGHJ3
True	13	V	336	305	IGHV6-1
True	13	D left	336	37	IGHD3-16
True	13	D right	336	37	IGHD3-16
True	13	J	336	62	IGHJ6
False	14	V	7	296	IGHV4-4
True	14	D left	7	30	IGHD3-10
True	14	D right	7	30	IGHD3-10
False	14	J	7	48	IGHJ4
True	15	V	28	296	IGHV3-11
False	15	D left	28	23	IGHD5-12
True	15	D right	28	23	IGHD5-12
True	15	J	28	48	IGHJ4
False	16	V	7	296	IGHV3-23
False	16	D left	7	16	IGHD4-11
True	16	D right	7	16	IGHD4-11
True	16	J	7	50	IGHJ3
True	17	V	42	299	IGHV4-39
True	17	D left	42	37	IGHD3-16
True	17	D right	42	37	IGHD3-16
True	17	J	42	62	IGHJ6
False	18	V	57	293	IGHV4-59
True	18	D left	57	23	IGHD5-12
True	18	D right	57	23	IGHD5-12
True	18	J	57	48	IGHJ4
True	19	V	47	296	IGHV7-4-1
True	19	D left	47	37	IGHD3-16
True	19	D right	47	37	IGHD3-16
True	19	J	47	51	IGHJ5
True	20	V	532	296	IGHV1-69
True	20	D left	532	37	IGHD3-16
True	20	D right	532	37	IGHD3-16
False	21	V	9	294	IGHV3-30-3
True	21	D left	9	31	IGHD2-2
True	21	D right	9	31	IGHD2-2
True	21	J	9	62	IGHJ6
True	22	V	60	298	IGHV3-43
False	22	D left	60	31	IGHD3-9
True	22	D right	60	31	IGHD3-9
True	22	J	60	62	IGHJ6
True	23	V	10	296	IGHV1-8
True	23	D left	10	31	IGHD3-10
True	23	D right	10	31	IGHD3-10
True	23	J	10	62	IGHJ6
False	24	V	37	296	IGHV1-69
True	24	D left	37	23	IGHD5-12
True	24	D right	37	23	IGHD5-12
False	24	J	37	53	IGHJ2
False	25	V	176	296	IGHV1-69
True	25	D left	176	30	IGHD3-10
True	25	D right	176	30	IGHD3-10
True	25	J	176	62	IGHJ6
True	26	V	23	299	IGHV4-31
True	26	D left	23	30	IGHD3-10
True	26	D right	23	30	IGHD3-10
True	26	J	23	62	IGHJ6
True	27	V	56	296	IGHV3-23
True	27	D left	56	17	IGHD1-1
True	27	D right	56	17	IGHD1-1
True	27	J	56	51	IGHJ5
False	28	V	25	293	IGHV3-53
True	28	D left	25	31	IGHD2/OR15-2b
True	28	D right	25	31	IGHD2/OR15-2b
True	28	J	25	62	IGHJ6
True	29	V	48	293	IGHV4-59
True	29	D left	48	37	IGHD3-16
True	29	D right	48	37	IGHD3-16
True	29	J	48	51	IGHJ5
False	30	V	2729	302	IGHV3-15
True	30	D left	2729	20	IGHD5-24
False	30	D right	2729	20	IGHD5-24
True	30	J	2729	51	IGHJ5
False	31	V	339	293	IGHV4-59
True	31	D left	339	31	IGHD3-3
True	31	D right	339	31	IGHD3-3
True	31	J	339	48	IGHJ4
True	32	V	21	296	IGHV3-48
True	32	D left	21	31	IGHD3-3
True	32	D right	21	31	IGHD3-3
False	32	J	21	50	IGHJ3
False	33	V	66	296	IGHV3-74
True	33	J	66	62	IGHJ6
False	34	V	1811	296	IGHV3-30
True	34	D left	1811	21	IGHD6-19
True	34	D right	1811	21	IGHD6-19
True	34	J	1811	51	IGHJ5
True	35	V	2148	297	IGHV2-5
False	36	V	69	294	IGHV1-2
True	36	D left	69	31	IGHD2-2
True	36	D right	69	31	IGHD2-2
True	36	J	69	62	IGHJ6
True	37	V	70	296	IGHV1-69
True	37	D left	70	31	IGHD3-22
True	37	D right	70	31	IGHD3-22
True	37	J	70	51	IGHJ5
True	38	V	45	296	IGHV7-4-1
True	38	D left	45	31	IGHD3-3
True	38	D right	45	31	IGHD3-3
True	38	J	45	48	IGHJ4
False	39	V	122	291	IGHV3-66
True	39	D left	122	37	IGHD3-16
True	39	D right	122	37	IGHD3-16
True	39	J	122	48	IGHJ4
True	40	V	8	293	IGHV4-59
True	40	D left	8	21	IGHD6-19
True	40	D right	8	21	IGHD6-19
True	40	J	8	51	IGHJ5
True	41	V	65	293	IGHV3-53
False	41	D left	65	30	IGHD3-10
